code,title,description,synonym
A5030,Late congenital syphilitic oculopathy,"Late congenital syphilitic oculopathy is a disease of the eye, a manifestation of late congenital syphilis.",darkening of the iris; scleral injection and protrusion; corneal edema and opacity; optic disc degeneration; nystagmus; strabismus; cataracts; glaucoma; keratitis; limbal stem cell deficiency; myopia.
A5031,Late congenital syphilitic oculopathy,"Late congenital syphilitic oculopathy is a disease of the eye, a manifestation of late congenital syphilis.",conjunctivitis; microphthalmia; cataracts; strabismus; nystagmus; atrophy of the iris and cornea; aniridia; glaucoma; visual impairment; blindness; keratoconus; pupillary dilation; corneal ulcers; corneal opacity
A5032,Late congenital syphilitic oculopathy,"Late congenital syphilitic oculopathy is a disease of the eye, a manifestation of late congenital syphilis.",red eyes; blurred vision; strabismus; cataract; ectopia lentis (dislocation of the lens); microphthalmos (small eye); exophthalmos (bulging of the eyeball); optic atrophy; myopia; nystagmus; strabismic paralysis.
A5039,Late congenital syphilitic oculopathy,"Late congenital syphilitic oculopathy is a disease of the eye, a manifestation of late congenital syphilis.",blurred vision; sensitivity to light; eye redness and swelling; eyelid lag or retraction; cataract formation; corneal opacification; optic atrophy; pupillary dilation; iris coloboma; extraocular muscle weakness; nystagmus.
A57,Chancroid,"Chancroid ( SHANG-kroyd) is a bacterial sexually transmitted infection characterized by painful sores on the genitalia. Chancroid is a bacterial infection caused by the fastidious Gram-negative streptobacillus Haemophilus ducreyi. Chancroid is known to spread from one individual to another solely through sexual contact. However, there have been reports of accidental infection through the hand.","painful sores on the genitalia
fastidious gram-negative streptobacillus
sexual contact
accidental infection through the hand"
A58,Granuloma inguinale,"Granuloma inguinale  is a bacterial disease caused by Klebsiella granulomatis (formerly known as Calymmatobacterium granulomatis) characterized by genital ulcers. It is endemic in many less-developed regions. It is also known as donovanosis, granuloma genitoinguinale, granuloma inguinale tropicum, granuloma venereum, granuloma venereum genitoinguinale, lupoid form of groin ulceration, serpiginous ulceration of the groin, ulcerating granuloma of the pudendum, and ulcerating sclerosing granuloma. Oral manifestations are also notably seen. The lesions of oral cavity are usually secondary to active genital lesions.
The disease often goes untreated because of the scarcity of medical treatment in the countries in which it is found. In addition, the painless genital ulcers can be mistaken for syphilis. The ulcers ultimately progress to destruction of internal and external tissue, with extensive leakage of mucus and blood from the highly vascular lesions. The destructive nature of donovanosis also increases the risk of superinfection by other pathogenic microbes.",granuloma inguinale symptoms; genital ulcers; oral manifestations; painless genital ulcers; destruction of internal and external tissue; extensive leakage of mucus and blood; superinfection risk.
A660,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms separated by semicolons:

round; hard swelling of the skin; 2 to 5 cm in diameter; center breaks open and forms an ulcer; joints become painful; fatigue develops; new skin lesions appear; palms of hands and soles of feet may become thick and break open; bones (especially those of the nose) may become misshapen; large areas of skin may die, leaving scars"
A661,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms listed separated by semicolons:

round; hard swelling of the skin; ulcer; joints and bones becoming painful; fatigue developing; new skin lesions appearing; thickening of the skin on palms of hands and soles of feet; misshapen bones; large areas of skin dying and leaving scars."
A662,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms of yaws separated by semicolons:

round; hard swelling of the skin; center breaks open and forms an ulcer; joints become painful; fatigue develops; new skin lesions appear; thickening of skin on palms of hands and soles of feet; misshapen bones; death of large areas of skin, leaving scars"
A663,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms separated by semicolons:

round; hard swelling of the skin; break open and form an ulcer; joints and bones become painful; fatigue develops; new skin lesions appear; palms of hands and soles of feet may become thick and break open; bones (especially those of the nose) may become misshapen; large areas of skin may die, leaving scars"
A664,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.",round hard swelling; center breaks open and forms an ulcer; joints become painful; fatigue develops; new skin lesions appear; palms of hands become thick and break open; bones misshapen; large areas of skin die leaving scars; physical deformities occur; treatment includes antibiotics including azithromycin by mouth or benzathine penicillin by injection.
A665,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.",round hard swelling of the skin; center breaks open and forms an ulcer; joints and bones become painful; fatigue develops; new skin lesions appear; thickening and breaking of skin on palms and soles; misshapen bones; large areas of skin die leaving scars.
A666,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms separated by semicolons:

round; hard swelling of the skin
2 to 5 cm (0.79 to 1.97 in) in diameter
center breaks open and forms an ulcer
initial skin lesion heals after 3–6 months
joints become painful; fatigue develops; new skin lesions appear
skin becomes thick and breaks open
bones become misshapen; large areas of skin die, leaving scars"
A667,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms separated by semicolons:

round; hard swelling of the skin; 2 to 5 cm (0.79 to 1.97 in) in diameter; center may break open and form an ulcer; initial skin lesion heals after 3–6 months; joints and bones become painful; fatigue develops; new skin lesions appear; skin of palms of hands and soles of feet becomes thick and breaks open; bones (especially those of the nose) become misshapen; large areas of skin may die, leaving scars"
A668,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.","here are the symptoms separated by semicolons:

round, hard swelling of the skin; center breaks open and forms an ulcer; new skin lesions appear; bones become misshapen; large areas of skin die and leave scars; thickening of palms of hands and soles of feet; joints and bones may be painful."
A669,Yaws,"Yaws is a tropical infection of the skin, bones, and joints caused by the spirochete bacterium Treponema pallidum pertenue. The disease begins with a round, hard swelling of the skin, 2 to 5 cm (0.79 to 1.97 in) in diameter. The center may break open and form an ulcer. This initial skin lesion typically heals after 3–6 months. After weeks to years, joints and bones may become painful, fatigue may develop, and new skin lesions may appear. The skin of the palms of the hands and the soles of the feet may become thick and break open. The bones (especially those of the nose) may become misshapen. After 5 years or more, large areas of skin may die, leaving scars.
Yaws is spread by direct contact with the fluid from a lesion of an infected person. The contact is usually nonsexual. The disease is most common among children, who spread it by playing together. Other related treponemal diseases are bejel (T. pallidum endemicum), pinta (T. carateum), and syphilis (T. p. pallidum). The appearance of the lesions often diagnoses yaws. Blood antibody tests may be useful, but cannot separate previous from current infections. Polymerase chain reaction  is the most accurate method of diagnosis.
No vaccine has yet been found. Prevention is, in part, done by curing those who have the disease, thereby decreasing the risk of transmission. Where the disease is common, treating the entire community is effective. Improving cleanliness and sanitation also decreases the spread. Treatment is typically with antibiotics, including azithromycin by mouth or benzathine penicillin by injection. Without treatment, physical deformities occur in 10% of cases.
Yaws is common in at least 13 tropical countries as of 2012. Almost 85% of infections occurred in three countries—Ghana, Papua New Guinea, and Solomon Islands. The disease only infects humans. Efforts in the 1950s and 1960s by the World Health Organization  decreased the number of cases by 95%. Since then, cases have increased, but with renewed efforts to globally eradicate the disease by 2020. In 1995, the number of people infected was estimated at more than 500,000. In 2016, the number of reported cases was 59,000. Although one of the first descriptions of the disease was made in 1679 by Willem Piso, archaeological evidence suggests that yaws may have been present among human ancestors as far back as 1.6 million years ago.",round hard swelling; break open and form ulcer; painless joints and bones; thick skin on palms of hands and soles of feet; misshapen bones; large areas of skin die; scars.
A6920,Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. It is the most common disease spread by ticks in the Northern Hemisphere. Infections are most common in the spring and early summer.  
The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards. The rash is typically neither itchy nor painful. Approximately 70–80% of infected people develop a rash. Other early symptoms may include fever, headaches and tiredness. If untreated, symptoms may include loss of the ability to move one or both sides of the face, joint pains, severe headaches with neck stiffness or heart palpitations. Months to years later, repeated episodes of joint pain and swelling may occur. Occasionally, shooting pains or tingling in the arms and legs may develop.
Diagnosis is based on a combination of symptoms, history of tick exposure, and possibly testing for specific antibodies in the blood. If an infection develops, several antibiotics are effective, including doxycycline, amoxicillin and cefuroxime. Standard treatment usually lasts for two or three weeks. People with persistent symptoms after appropriate treatments are said to have Post-Treatment Lyme Disease Syndrome (PTLDS).
Prevention includes efforts to prevent tick bites by wearing clothing to cover the arms and legs and using DEET or picaridin-based insect repellents. As of 2023, clinical trials of proposed human vaccines for Lyme disease were being carried out, but no vaccine was available. A vaccine, LYMERix, was produced but discontinued in 2002 due to insufficient demand. There are several vaccines for the prevention of Lyme disease in dogs.","here are the symptoms separated by semicolons:

expanding red rash; neither itchy nor painful; fever; headaches; tiredness; loss of ability to move one or both sides of the face; joint pains; severe headaches with neck stiffness; heart palpitations; repeated episodes of joint pain and swelling; shooting pains or tingling in the arms and legs; post-treatment lyme disease syndrome (ptlds); persistent symptoms after treatment."
A6921,Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. It is the most common disease spread by ticks in the Northern Hemisphere. Infections are most common in the spring and early summer.  
The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards. The rash is typically neither itchy nor painful. Approximately 70–80% of infected people develop a rash. Other early symptoms may include fever, headaches and tiredness. If untreated, symptoms may include loss of the ability to move one or both sides of the face, joint pains, severe headaches with neck stiffness or heart palpitations. Months to years later, repeated episodes of joint pain and swelling may occur. Occasionally, shooting pains or tingling in the arms and legs may develop.
Diagnosis is based on a combination of symptoms, history of tick exposure, and possibly testing for specific antibodies in the blood. If an infection develops, several antibiotics are effective, including doxycycline, amoxicillin and cefuroxime. Standard treatment usually lasts for two or three weeks. People with persistent symptoms after appropriate treatments are said to have Post-Treatment Lyme Disease Syndrome (PTLDS).
Prevention includes efforts to prevent tick bites by wearing clothing to cover the arms and legs and using DEET or picaridin-based insect repellents. As of 2023, clinical trials of proposed human vaccines for Lyme disease were being carried out, but no vaccine was available. A vaccine, LYMERix, was produced but discontinued in 2002 due to insufficient demand. There are several vaccines for the prevention of Lyme disease in dogs.",an expanding red rash; itchy or painful rash; fever; headaches and tiredness; loss of movement on one or both sides of the face; joint pains; severe headaches with neck stiffness; shooting pains or tingling in the arms and legs; swelling in joints; loss of coordination; muscle weakness.
A6922,Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. It is the most common disease spread by ticks in the Northern Hemisphere. Infections are most common in the spring and early summer.  
The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards. The rash is typically neither itchy nor painful. Approximately 70–80% of infected people develop a rash. Other early symptoms may include fever, headaches and tiredness. If untreated, symptoms may include loss of the ability to move one or both sides of the face, joint pains, severe headaches with neck stiffness or heart palpitations. Months to years later, repeated episodes of joint pain and swelling may occur. Occasionally, shooting pains or tingling in the arms and legs may develop.
Diagnosis is based on a combination of symptoms, history of tick exposure, and possibly testing for specific antibodies in the blood. If an infection develops, several antibiotics are effective, including doxycycline, amoxicillin and cefuroxime. Standard treatment usually lasts for two or three weeks. People with persistent symptoms after appropriate treatments are said to have Post-Treatment Lyme Disease Syndrome (PTLDS).
Prevention includes efforts to prevent tick bites by wearing clothing to cover the arms and legs and using DEET or picaridin-based insect repellents. As of 2023, clinical trials of proposed human vaccines for Lyme disease were being carried out, but no vaccine was available. A vaccine, LYMERix, was produced but discontinued in 2002 due to insufficient demand. There are several vaccines for the prevention of Lyme disease in dogs.",expanding red rash; itchy or painful rash; fever; headaches; tiredness; loss of ability to move one or both sides of the face; joint pains; severe headaches with neck stiffness; heart palpitations; repeated episodes of joint pain and swelling; shooting pains in arms and legs; tingling in arms and legs
A6923,Lyme disease,"Lyme disease, also known as Lyme borreliosis, is a tick-borne disease caused by species of Borrelia bacteria, transmitted by blood-feeding ticks in the genus Ixodes. It is the most common disease spread by ticks in the Northern Hemisphere. Infections are most common in the spring and early summer.  
The most common sign of infection is an expanding red rash, known as erythema migrans (EM), which appears at the site of the tick bite about a week afterwards. The rash is typically neither itchy nor painful. Approximately 70–80% of infected people develop a rash. Other early symptoms may include fever, headaches and tiredness. If untreated, symptoms may include loss of the ability to move one or both sides of the face, joint pains, severe headaches with neck stiffness or heart palpitations. Months to years later, repeated episodes of joint pain and swelling may occur. Occasionally, shooting pains or tingling in the arms and legs may develop.
Diagnosis is based on a combination of symptoms, history of tick exposure, and possibly testing for specific antibodies in the blood. If an infection develops, several antibiotics are effective, including doxycycline, amoxicillin and cefuroxime. Standard treatment usually lasts for two or three weeks. People with persistent symptoms after appropriate treatments are said to have Post-Treatment Lyme Disease Syndrome (PTLDS).
Prevention includes efforts to prevent tick bites by wearing clothing to cover the arms and legs and using DEET or picaridin-based insect repellents. As of 2023, clinical trials of proposed human vaccines for Lyme disease were being carried out, but no vaccine was available. A vaccine, LYMERix, was produced but discontinued in 2002 due to insufficient demand. There are several vaccines for the prevention of Lyme disease in dogs.",an expanding red rash; itching; painful; fever; headaches; tiredness; loss of movement on one side of the face; joint pains; severe headaches with neck stiffness; heart palpitations; repeated episodes of joint pain and swelling; shooting pains or tingling in the arms and legs; post-treatment lyme disease syndrome (ptlds)
